PARENT_UI_ELEMENT,TARGET_UI_ELEMENT,COMPONENT_NAME,UI_EVENT_SOURCE,ConcatComponentEvent,Event,Event Label,Description,Rank
one-shortcutLibraryCommandHandler,ToggleUtilityItem,,synthetic-keyboard,one-shortcutLibraryCommandHandler - ToggleUtilityItem -  - synthetic-keyboard,,,,0
inline-edit-grid,fileTitle,,click,inline-edit-grid - fileTitle -  - click,,,,0
modal-content,confirmButton__button,,click,modal-content - confirmButton__button -  - click,Click,Confirm Button,User has confirmed an action (e.g. send an email with attachment),0
runtime_communities_nba:nbaWidget,nbaWidget-componentUsage,,navigate,runtime_communities_nba:nbaWidget - nbaWidget-componentUsage -  - navigate,,,,0
console-tab-button-toggle-menu,menu-trigger,,click,console-tab-button-toggle-menu - menu-trigger -  - click,,,,0
tab-bar,tab-bar-content__tab,TextPost,click,tab-bar - tab-bar-content__tab - TextPost - click,,,,0
tab-bar,tab-bar-content__tab,relatedListsTab,click,tab-bar - tab-bar-content__tab - relatedListsTab - click,,,,0
forceContentModalPreviewPlayer,forceContentModalPreviewPlayer,,synthetic-content-closeFilePreview,forceContentModalPreviewPlayer - forceContentModalPreviewPlayer -  - synthetic-content-closeFilePreview,,,,0
tab-bar-content,overflow-item__menu-item,case.gt_paymentlink_generator,click,tab-bar-content - overflow-item__menu-item - case.gt_paymentlink_generator - click,,,,0
search-input-lookup-desktop,search-record-pill-item,,synthetic-pill-remove,search-input-lookup-desktop - search-record-pill-item -  - synthetic-pill-remove,,,,0
search-input-lookup-desktop,search-mru-item,,synthetic-click,search-input-lookup-desktop - search-mru-item -  - synthetic-click,Click,Lookup-Field Search Result,User clicks on a most-recently used record that is prompted in the search lookup,0
search-input-lookup-desktop,search-record-pill-item,,synthetic-pill-add,search-input-lookup-desktop - search-record-pill-item -  - synthetic-pill-add,,,,0
search-results-container,search-results-grid,,synthetic-refresh,search-results-container - search-results-grid -  - synthetic-refresh,,,,0
runtime_platform_actions-pageReferenceAction,lwc-action,,click,runtime_platform_actions-pageReferenceAction - lwc-action -  - click,Click,Quick Action Drop-Down,A user is selecting the drop-down to see more available Quick Actions,0
record-layout,entity-link,,click,record-layout - entity-link -  - click,,,,0
search-results-container,search-result-item,,synthetic-click,search-results-container - search-result-item -  - synthetic-click,synthetic-click,,,0
one-one,force-dockingPanel-close,,synthetic-click,one-one - force-dockingPanel-close -  - synthetic-click,Click,Message Prompt - Close,A user has closed a panel in the message prompt at the bottom of the page.,0
RecordEditAction,action__button,CancelEdit,click,RecordEditAction - action__button - CancelEdit - click,,,,0
one-consoleNav,one-appNavMenu-opened,,synthetic-click,one-consoleNav - one-appNavMenu-opened -  - synthetic-click,synthetic-click,,,0
loadPastActivities,activityTimeline,,synthetic-click,loadPastActivities - activityTimeline -  - synthetic-click,synthetic-click,,,0
search-input-lookup-desktop,search-mru-action-item,,synthetic-click,search-input-lookup-desktop - search-mru-action-item -  - synthetic-click,synthetic-click,,,0
one-consoleNav,one-appNavMenu-selection,,synthetic-click,one-consoleNav - one-appNavMenu-selection -  - synthetic-click,synthetic-click,,,0
search-results-container,entity-link,,click,search-results-container - entity-link -  - click,,,,0
einsteinArticleSuggestion,einsteinArticleSuggestion,,synthetic-einsteinArticleSuggestion-actions,einsteinArticleSuggestion - einsteinArticleSuggestion -  - synthetic-einsteinArticleSuggestion-actions,,,,0
tab-bar,tab-bar-content__tab,AllUpdates,click,tab-bar - tab-bar-content__tab - AllUpdates - click,,,,0
emailui-pill-container,remove-emailui-pill-container,,synthetic-click,emailui-pill-container - remove-emailui-pill-container -  - synthetic-click,synthetic-click,,,0
closeButton,previewer-action__button,,click,closeButton - previewer-action__button -  - click,,,,0
record-layout,inline-edit-trigger__button,ContactId,click,record-layout - inline-edit-trigger__button - ContactId - click,,,,0
record-layout,inline-edit-trigger__button,OwnerId,click,record-layout - inline-edit-trigger__button - OwnerId - click,,,,0
buttonBar,list-view-button-bar__button,refresh,click,buttonBar - list-view-button-bar__button - refresh - click,Click,List View Refresh,A user has clicked the Refresh button on a list view.,0
feedContainer,refreshFeed__button,,click,feedContainer - refreshFeed__button -  - click,,,,0
modal,close-modal__button,,click,modal - close-modal__button -  - click,,,,0
attachmentItem,attachmentButton__button,,click,attachmentItem - attachmentButton__button -  - click,,,,0
tab-bar,tab-bar-content__tab,pastChatsTab,click,tab-bar - tab-bar-content__tab - pastChatsTab - click,,,,0
one-one,force-dockingPanel-create,,synthetic-click,one-one - force-dockingPanel-create -  - synthetic-click,Click,Message Prompt - Prompt,A user has been prompted with something in a message prompt panel at the bottom of the page.,0
one-one,force-dockingPanel-maximize,,synthetic-click,one-one - force-dockingPanel-maximize -  - synthetic-click,Click,Message Prompt - Maximise,A user has maximised a message prompt window.,0
forceContentModalPreviewManager,forceContentModalPreviewManager,,synthetic-content-openPreview,forceContentModalPreviewManager - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
forceContentModalPreviewPlayer,forceContentModalPreviewPlayer,,synthetic-content-enterFilePreviewPage,forceContentModalPreviewPlayer - forceContentModalPreviewPlayer -  - synthetic-content-enterFilePreviewPage,,,,0
forceDownloadHandler,forceContentModalPreviewManager,,synthetic-content-openPreview,forceDownloadHandler - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
search-input-lookup-desktop,search-lookup-suggestion-option,,click,search-input-lookup-desktop - search-lookup-suggestion-option -  - click,Click,Lookup-Field Suggestion,User clicks on a suggested search result,0
CollapseSection,recex_lwc,,click,CollapseSection - recex_lwc -  - click,,,,0
one-shortcutLibraryCommandHandler,CopyUrlForTab,,synthetic-keyboard,one-shortcutLibraryCommandHandler - CopyUrlForTab -  - synthetic-keyboard,,,,0
search-input-lookup-desktop,search-input,,click,search-input-lookup-desktop - search-input -  - click,Click,Lookup-Field Search,Looking for a record in a relationship field (creating or editing a record),0
search-input-lookup-desktop,search-lookup-action-option,,click,search-input-lookup-desktop - search-lookup-action-option -  - click,Click,Lookup-Field Action,User performs some action during a lookup search,0
panelFooter,panelFooterButton__button,,click,panelFooter - panelFooterButton__button -  - click,Click,Modal Close,"User has clicked 'Done', 'Add', 'Close' on some modal window (e.g. 'Add' when adding an attachment.)",0
search-results-container,search-results-multi-scope,,synthetic-refresh,search-results-container - search-results-multi-scope -  - synthetic-refresh,,,,0
listview-picker,dropdown-trigger,,click,listview-picker - dropdown-trigger -  - click,Click,List View Select,User has selected a list view from the object home tab.,0
search-entity-selector-menu-list,search-menu-item,,click,search-entity-selector-menu-list - search-menu-item -  - click,,,,0
search-entity-selector,search-input,,synthetic-click,search-entity-selector - search-input -  - synthetic-click,synthetic-click,,,0
actions-dropdown,action-dropdown-item__menu-item,0:Edit,click,actions-dropdown - action-dropdown-item__menu-item - 0:Edit - click,Click,Edit - In List,Edit a record from a List.,0
search-results-container,search-results-grid-lvm,,synthetic-refresh,search-results-container - search-results-grid-lvm -  - synthetic-refresh,,,,0
global-notifications,force-headerbutton-link__button,,click,global-notifications - force-headerbutton-link__button -  - click,,,,0
compactFeedItemHeader,cuf-entityLink,,click,compactFeedItemHeader - cuf-entityLink -  - click,,,,0
RELATED_LIST,files-upload,,synthetic-files-upload,RELATED_LIST - files-upload -  - synthetic-files-upload,,,,0
fileUploaderPanelFooter,panelFooterButton__button,,click,fileUploaderPanelFooter - panelFooterButton__button -  - click,Click,File Upload,A user has uploaded a file via Files related list.,0
one-shortcutLibraryCommandHandler,RefreshWorkspace,,synthetic-keyboard,one-shortcutLibraryCommandHandler - RefreshWorkspace -  - synthetic-keyboard,,,,0
compactFeedItem,quickActionLinkAnchor,,click,compactFeedItem - quickActionLinkAnchor -  - click,,,,0
lookup-preview,link,,synthetic-hover,lookup-preview - link -  - synthetic-hover,Click,Record Preview Hover,The user has hoverd over a link to another record to see the compact record preview.,0
search-results-container,search-zero-results,,synthetic-refresh,search-results-container - search-zero-results -  - synthetic-refresh,,,,0
modal,panel-content__button,,click,modal - panel-content__button -  - click,,,,0
compactFeedItem,compact-feed-item-view-transcript,,click,compactFeedItem - compact-feed-item-view-transcript -  - click,,,,0
modal,action__button,DeleteFeedItem,click,modal - action__button - DeleteFeedItem - click,,,,0
modal,action__button,SaveEdit,click,modal - action__button - SaveEdit - click,,,,0
docking-panel,publisher-quick-action__button,EmailMessage._Reply,click,docking-panel - publisher-quick-action__button - EmailMessage._Reply - click,,,,0
kb-search-results-container,search-results-list,,synthetic-refresh,kb-search-results-container - search-results-list -  - synthetic-refresh,,,,0
compactFeedItem,feedItemActionAnchor,,click,compactFeedItem - feedItemActionAnchor -  - click,,,,0
favorites-list-trigger,force-headerbutton-link__button,,click,favorites-list-trigger - force-headerbutton-link__button -  - click,,,,0
email-message-panel-trigger,emailMessageDropdownButton,,click,email-message-panel-trigger - emailMessageDropdownButton -  - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,1:EmailReply,click,actions-dropdown - action-dropdown-item__menu-item - 1:EmailReply - click,Click,Email Reply - In List,Email Reply from a List.,0
attachmentPreview,forceContentModalPreviewManager,,synthetic-content-openPreview,attachmentPreview - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
one-shortcutLibraryCommandHandler,CopyUrlForWorkspaceAndSubtabs,,synthetic-keyboard,one-shortcutLibraryCommandHandler - CopyUrlForWorkspaceAndSubtabs -  - synthetic-keyboard,,,,0
tab-bar,tab-bar-content__tab,customTab,click,tab-bar - tab-bar-content__tab - customTab - click,,,,0
flexipage-component,relatedRecordClick-View__link,,click,flexipage-component - relatedRecordClick-View__link -  - click,,,,0
attachmentPreview,preview,,click,attachmentPreview - preview -  - click,,,,0
global-app-launcher,force-headerbutton-link__button,,click,global-app-launcher - force-headerbutton-link__button -  - click,,,,0
file,upload,,synthetic-file-upload,file - upload -  - synthetic-file-upload,,,,0
actions-dropdown,action-dropdown-item__menu-item,2:EmailReplyAll,click,actions-dropdown - action-dropdown-item__menu-item - 2:EmailReplyAll - click,Click,Email Reply All - In List,Email Reply All from a List.,0
favorites-picker-list,favorites-picker-menu-option,,click,favorites-picker-list - favorites-picker-menu-option -  - click,,,,0
docking-panel,publisher-quick-action__button,EmailMessage._ReplyAll,click,docking-panel - publisher-quick-action__button - EmailMessage._ReplyAll - click,,,,0
fileSourceListItem,fileSource,,click,fileSourceListItem - fileSource -  - click,,,,0
search-entity-selector,search-entity-selector-menu-list,,synthetic-click,search-entity-selector - search-entity-selector-menu-list -  - synthetic-click,synthetic-click,,,0
previewer-actions-bar,previewer-action__button,DownloadFile,click,previewer-actions-bar - previewer-action__button - DownloadFile - click,,,,0
one-one,force-dockingPanel-minimize,,synthetic-click,one-one - force-dockingPanel-minimize -  - synthetic-click,Click,Message Prompt - Minimize,A user has minimised a message prompt window.,0
fileBadge,forceContentModalPreviewManager,,synthetic-content-openPreview,fileBadge - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
global-user-profile,force-headerbutton-link__button,,click,global-user-profile - force-headerbutton-link__button -  - click,,,,0
uns-notificationListRow,uns-notificationListRow,,click,uns-notificationListRow - uns-notificationListRow -  - click,,,,0
action-ribbon-container,action-link,New,click,action-ribbon-container - action-link - New - click,Click,New Button,"The user has clicked on a New button, likely at the top of a related list.",0
one-one,force-dockingPanel-open,,synthetic-click,one-one - force-dockingPanel-open -  - synthetic-click,Click,Message Prompt - Open,A user has open a panel in the message prompt at the bottom of the page.,0
flexipage-component,relatedRecordClick-View__menu-item,,click,flexipage-component - relatedRecordClick-View__menu-item -  - click,,,,0
form-footer,cancel-button,,click,form-footer - cancel-button -  - click,Click,Cancel button,"Cancel button at the bottom of a new, edit and clone page.",0
modal-content,closeButton__button,,click,modal-content - closeButton__button -  - click,Click,Close Button,User has clicked Close on a modal pop-up window,0
panel-content,user-logout__link,,click,panel-content - user-logout__link -  - click,,,,0
record-layout,inline-edit-trigger__button,Name,click,record-layout - inline-edit-trigger__button - Name - click,,,,0
actions-dropdown,actions-dropdown-trigger__menu-trigger-link,,click,actions-dropdown - actions-dropdown-trigger__menu-trigger-link -  - click,Click,Action Dropwn - Related List,A user has clicked the drop-down menu at the top of a related list or Kanban tile.,0
record-layout,inline-edit-trigger__button,Email,click,record-layout - inline-edit-trigger__button - Email - click,,,,0
tab-bar,tab-bar-content__tab,currentWorkTab,click,tab-bar - tab-bar-content__tab - currentWorkTab - click,,,,0
one-one,one-controlClickLibrary,,synthetic-control-click,one-one - one-controlClickLibrary -  - synthetic-control-click,,,,0
tab-bar,tab-bar-content__tab,ChangeStatusPost,click,tab-bar - tab-bar-content__tab - ChangeStatusPost - click,,,,0
action-modal,custom-action-layout__button,,click,action-modal - custom-action-layout__button -  - click,,,,0
tab-bar-content,overflow-item__menu-item,textpost,click,tab-bar-content - overflow-item__menu-item - textpost - click,,,,0
feed-sorter,feed-sort-trigger__menu-trigger-link,,click,feed-sorter - feed-sort-trigger__menu-trigger-link -  - click,,,,0
global-favorite-toggle,force-headerbutton-link__button,,click,global-favorite-toggle - force-headerbutton-link__button -  - click,,,,0
action-ribbon-container,actionButton,,click,action-ribbon-container - actionButton -  - click,,,,0
forceChatterMessageSegments,forceContentModalPreviewManager,,synthetic-content-openPreview,forceChatterMessageSegments - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
modal,action__button,Delete,click,modal - action__button - Delete - click,,,,0
one-utilityBar,one-utilityBarItem--panelClosed,,synthetic-click,one-utilityBar - one-utilityBarItem--panelClosed -  - synthetic-click,synthetic-click,,,0
record-layout,inline-edit-trigger__button,Ecom_EMEA_Specific_Category__c,click,record-layout - inline-edit-trigger__button - Ecom_EMEA_Specific_Category__c - click,,,,0
inlineEditGrid,component,,click,inlineEditGrid - component -  - click,,,,0
one-utilityBar,one-utilityBarItem-popOut,,synthetic-click,one-utilityBar - one-utilityBarItem-popOut -  - synthetic-click,synthetic-click,,,0
record-layout,inline-edit-trigger__button,Ecom_EMEA_Point_of_Sales__c,click,record-layout - inline-edit-trigger__button - Ecom_EMEA_Point_of_Sales__c - click,,,,0
einsteinItemWrapper,PostTheChat__button,,click,einsteinItemWrapper - PostTheChat__button -  - click,,,,0
one-app-nav-container,global-nav-temporary-tab-closed,,synthetic-click,one-app-nav-container - global-nav-temporary-tab-closed -  - synthetic-click,synthetic-click,,,0
actions-dropdown,action-dropdown-item__menu-item,0:Delete,click,actions-dropdown - action-dropdown-item__menu-item - 0:Delete - click,Click,Delete - In List,Delete from a List.,0
action-ribbon-container,action-link,EmailMessage._Reply,click,action-ribbon-container - action-link - EmailMessage._Reply - click,,,,0
panel-content,viewAll,,click,panel-content - viewAll -  - click,,,,0
record-layout,emailLink,,click,record-layout - emailLink -  - click,,,,0
relatedRecord,cuf-entityLink,,click,relatedRecord - cuf-entityLink -  - click,,,,0
record-layout,inline-edit-trigger__button,Ecom_Order_Ref_Unavailable__c,click,record-layout - inline-edit-trigger__button - Ecom_Order_Ref_Unavailable__c - click,,,,0
search-input-desktop,search-advanced-pill-item,,synthetic-pill-remove,search-input-desktop - search-advanced-pill-item -  - synthetic-pill-remove,,,,0
output-Lookup,entity-link,,click,output-Lookup - entity-link -  - click,,,,0
actions-dropdown,action-dropdown-item__menu-item,0:NewCase,click,actions-dropdown - action-dropdown-item__menu-item - 0:NewCase - click,Click,New Case - In List,New Case from a List.,0
kb-search-input-desktop,search-input,,synthetic-click,kb-search-input-desktop - search-input -  - synthetic-click,synthetic-click,,,0
listview-switcher-dropdown-trigger,menu-trigger,,click,listview-switcher-dropdown-trigger - menu-trigger -  - click,Click,List View - Switcher,A user has opened the option to change the Display Type of the List View,0
tab-bar-content,overflow-item__menu-item,case.gt_voucher,click,tab-bar-content - overflow-item__menu-item - case.gt_voucher - click,,,,0
one-shortcutLibraryCommandHandler,CloseAllTabs,,synthetic-keyboard,one-shortcutLibraryCommandHandler - CloseAllTabs -  - synthetic-keyboard,,,,0
record-layout,inline-edit-trigger__button,Phone,click,record-layout - inline-edit-trigger__button - Phone - click,,,,0
tab-bar,tab-bar-content__tab,requestListTab,click,tab-bar - tab-bar-content__tab - requestListTab - click,,,,0
one-shortcutLibraryCommandHandler,GoToUtilityBar,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToUtilityBar -  - synthetic-keyboard,,,,0
global-app-nav,tab-item,Case,click,global-app-nav - tab-item - Case - click,,,,0
tab-bar,tab-bar-content__tab,CaseCommentPost,click,tab-bar - tab-bar-content__tab - CaseCommentPost - click,,,,0
one-shortcutLibraryCommandHandler,Search,,synthetic-keyboard,one-shortcutLibraryCommandHandler - Search -  - synthetic-keyboard,,,,0
one-shortcutLibraryCommandHandler,CloseWorkspace,,synthetic-keyboard,one-shortcutLibraryCommandHandler - CloseWorkspace -  - synthetic-keyboard,,,,0
search-lookup-advanced,search-panel-cancel__button,,click,search-lookup-advanced - search-panel-cancel__button -  - click,,,,0
record-layout,inline-edit-trigger__button,MobilePhone,click,record-layout - inline-edit-trigger__button - MobilePhone - click,,,,0
modal-content,cancel-button__button,,click,modal-content - cancel-button__button -  - click,Click,Cancel Button,User has cancelled an action (e.g. send an email with attachment),0
search-results-container,emailLink,,click,search-results-container - emailLink -  - click,,,,0
record-layout,inline-edit-trigger__button,Website_App_Name__c,click,record-layout - inline-edit-trigger__button - Website_App_Name__c - click,,,,0
one-utilityBar,one-utilityBarItem-popIn,,synthetic-click,one-utilityBar - one-utilityBarItem-popIn -  - synthetic-click,synthetic-click,,,0
listview-settings-menu,menu-trigger,,click,listview-settings-menu - menu-trigger -  - click,Click,List View - Settings,A user has opened the controls of the List View,0
record-layout,updatePhoto,,click,record-layout - updatePhoto -  - click,,,,0
record-layout,pageBlockItem__button,,click,record-layout - pageBlockItem__button -  - click,,,,0
docking-panel,publisher-quick-action__button,EmailMessage._Forward,click,docking-panel - publisher-quick-action__button - EmailMessage._Forward - click,,,,0
listview-column-menu,menu-trigger,,click,listview-column-menu - menu-trigger -  - click,,,,0
selectorPanelFooter,panelFooterButton__button,,click,selectorPanelFooter - panelFooterButton__button -  - click,,,,0
modal,action__button,SaveAndNew,click,modal - action__button - SaveAndNew - click,,,,0
supportEnhancedOutputURL,forceContentModalPreviewManager,,synthetic-content-openPreview,supportEnhancedOutputURL - forceContentModalPreviewManager -  - synthetic-content-openPreview,,,,0
one-shortcutLibraryCommandHandler,GoToItemMenu,,synthetic-keyboard,one-shortcutLibraryCommandHandler - GoToItemMenu -  - synthetic-keyboard,,,,0
record-layout,inlineEditUndo__button,Subject,click,record-layout - inlineEditUndo__button - Subject - click,,,,0
feedContainer,expand_all__button,,click,feedContainer - expand_all__button -  - click,,,,0
runtime_platform_actions-auraLegacyAction,lwc-action,,click,runtime_platform_actions-auraLegacyAction - lwc-action -  - click,Click,Generic LWC,Some intereaction with a standard LWC component e.g. Lead Convert button,0
actions-dropdown,action-dropdown-item__menu-item,1:Delete,click,actions-dropdown - action-dropdown-item__menu-item - 1:Delete - click,Click,Delete - In List,Delete from a List.,0
action-ribbon-container,action-link,NewCase,click,action-ribbon-container - action-link - NewCase - click,Click,New Case Button (Related List),User has created a new Case from a related list header or similar.,0
exceededMaxRepoll,einsteinArticleSuggestionPolling,,synthetic-einsteinArticleSuggestion-poll,exceededMaxRepoll - einsteinArticleSuggestionPolling -  - synthetic-einsteinArticleSuggestion-poll,,,,0
modal,action__button,CancelEdit,click,modal - action__button - CancelEdit - click,,,,0
emoji-button,emoji-icon-button__button,,click,emoji-button - emoji-icon-button__button -  - click,,,,0
modal-file-preview,fullScreen__button,,click,modal-file-preview - fullScreen__button -  - click,,,,0
inline-edit-grid,emailLink,,click,inline-edit-grid - emailLink -  - click,,,,0
kb-search-input-desktop,search-mru-item,,synthetic-click,kb-search-input-desktop - search-mru-item -  - synthetic-click,synthetic-click,,,0
kb-search-input-desktop,search-mru-action-item,,synthetic-click,kb-search-input-desktop - search-mru-action-item -  - synthetic-click,synthetic-click,,,0
actions-dropdown,action-dropdown-item__menu-item,3:EmailForward,click,actions-dropdown - action-dropdown-item__menu-item - 3:EmailForward - click,Click,Email Forward - In List,Email Forward from a List.,0
modal,action__button,,click,modal - action__button -  - click,Click,Generic Pop-up Interaction,,0
